source_path,final_path,status,date_folder,location,location_source,matched_existing
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0890.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0890.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0891.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0891.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0892.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0892.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0893.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0893.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0894.MP4,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0894.MP4",moved,2023-08-07,"Dunedin, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0895.MP4,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0895.MP4",moved,2023-08-07,"Dunedin, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0896.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0896.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0897.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0897.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0898.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0898.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0899.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0899.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0900.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0900.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0901.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0901.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0903.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0903.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
